eplenmean,explained_variance,clipfrac,time_elapsed,eprewmean,fps,approxkl,serial_timesteps,total_timesteps,value_loss,nupdates,policy_loss,policy_entropy
196380.0,0.9998105626000324,0.2428263,1578.5451560020447,-233461.1935828333,2090,0.015881618,274432,3293184,5.0553084e-05,134,-0.036181398,27.928951
196380.0,0.9998617697856389,0.2505411,1590.6141719818115,-233461.1935828333,2036,0.01651764,276480,3317760,3.9937913e-05,135,-0.036271073,27.843777
172351.7142857143,0.9978871967177838,0.26309007,1602.7313027381897,-201638.8205485714,2028,0.017708374,278528,3342336,8.132863e-05,136,-0.033483304,27.809551
172351.7142857143,0.9988412347156554,0.2468303,1614.560672044754,-201638.8205485714,2077,0.01638334,280576,3366912,5.6455716e-05,137,-0.031473886,27.800793
172351.7142857143,0.9992281433660537,0.2571817,1626.7346246242523,-201638.8205485714,2018,0.017141249,282624,3391488,4.6587364e-05,138,-0.033269167,27.795345
172351.7142857143,0.9993762746453285,0.25579825,1638.7561252117157,-201638.8205485714,2044,0.016955012,284672,3416064,5.112167e-05,139,-0.032743838,27.779041
172351.7142857143,0.9995488099229988,0.24280593,1650.9313943386078,-201638.8205485714,2018,0.01614267,286720,3440640,4.2872332e-05,140,-0.031959932,27.739609
172351.7142857143,0.99962844219408,0.24938159,1662.9715218544006,-201638.8205485714,2041,0.016528213,288768,3465216,4.512658e-05,141,-0.031740595,27.703943
172351.7142857143,0.9997007776109967,0.25194103,1674.8584439754486,-201638.8205485714,2067,0.016501157,290816,3489792,4.1388786e-05,142,-0.03256101,27.652409
172351.7142857143,0.9997864387405571,0.25249434,1686.9499583244324,-201638.8205485714,2032,0.016587108,292864,3514368,4.146133e-05,143,-0.03361066,27.605408
172351.7142857143,0.9998464287345996,0.2581298,1698.905075788498,-201638.8205485714,2055,0.017096976,294912,3538944,3.3875673e-05,144,-0.035217974,27.542774
172351.7142857143,0.9998570773313986,0.25104177,1711.0305624008179,-201638.8205485714,2026,0.016666869,296960,3563520,3.5313504e-05,145,-0.03417822,27.506313
153509.5,0.9994411816005595,0.26315922,1723.263109445572,-177588.664204625,2009,0.017935764,299008,3588096,5.7614227e-05,146,-0.029038915,27.437084
153509.5,0.9994375601527281,0.24204102,1735.10520195961,-177588.664204625,2075,0.0162726,301056,3612672,4.1744534e-05,147,-0.032568477,27.380447
153509.5,0.9995590757753234,0.2546631,1747.108894586563,-177588.664204625,2047,0.017063381,303104,3637248,4.588765e-05,148,-0.031992428,27.339676
153509.5,0.9996836191567127,0.24704595,1759.0113792419434,-177588.664204625,2064,0.016523454,305152,3661824,3.697941e-05,149,-0.032018714,27.307383
153509.5,0.999812646798091,0.2541341,1770.8885970115662,-177588.664204625,2069,0.016963799,307200,3686400,4.050953e-05,150,-0.034165043,27.258572
153509.5,0.9998289325594669,0.26600343,1782.7751429080963,-177588.664204625,2067,0.01766956,309248,3710976,4.4553617e-05,151,-0.033536706,27.223927
153509.5,0.9998641447164118,0.25941986,1794.6263637542725,-177588.664204625,2073,0.017373707,311296,3735552,4.1542728e-05,152,-0.033746943,27.171036
153509.5,0.998057427816093,0.26486814,1806.4907810688019,-177588.664204625,2071,0.017924514,313344,3760128,6.927742e-05,153,-0.029194009,27.133564
153509.5,0.9964534074533731,0.26566166,1819.0062234401703,-177588.664204625,1963,0.01801585,315392,3784704,5.6431854e-05,154,-0.031578973,27.118372
153509.5,0.9977625261526555,0.2604776,1830.886343240738,-177588.664204625,2068,0.01778344,317440,3809280,4.09107e-05,155,-0.032387067,27.110271
153509.5,0.9983960358658805,0.26417646,1842.736911058426,-177588.664204625,2074,0.018059973,319488,3833856,3.5981993e-05,156,-0.031780932,27.114872
