#{"t_start": 1524637493.622575, "env_id": "Starfish-SwimX-v0"}
r,l,t
46.631702,626,4594.616644.847.25278,625,4599.2432547.47.000632,625,4602.3431647.46.823289,635,4605.4603645.46.816345,607,4609.889347.546.71965,624,4612.8806546.46.171869,655,4616.0289746.47.180624,631,4620.8695046.46.59557,613,4623.8040654646.527075,620,4626.7632084647.037051,630,4629.7645247.47.281996,631,4634.2991346.45.756172,673,4637.5157746.47.18096,624,4640.5456947.46.707716,624,4645.0220146.46.702348,613,4648.0274246.47.363639,637,4651.168054646.729435,649,4656.0638274647.074384,623,4659.0835864747.227873,606,4662.0102344746.476081,635,4666.8675345446.996319,636,4669.9918644746.587356,637,4673.1064146.46.799533,631,4676.209134646.506165,617,4680.9229794547.449841,613,4683.8397947.46.955231,620,4686.8112646.46.711703,643,4691.3663046.46.981176,643,4694.4486546.47.452657,630,4697.537847.247.312344,632,4702.41146.4447.125244,612,4705.4245.21947.286819,620,4708.4046.68646.750932,638,4712.9747.77646.931553,630,4716.0447.28447.100848,637,4719.1047.76446.827235,607,4722.0547.04747.210993,635,4726.47.2314646.277067,631,4729.46.8814646.904506,630,4732.47.4514747.25623,619,4737.247.650447.00186,625,4740.2946.59046.869683,653,4743.4747.25946.833154,662,4748.2046.67447.098861,636,4751.2446.59747.364738,632,4754.2546.58145.650943,690,4759.1646.76847.153724,622,4762.1844.95546.82342,643,4765.3047.25247.008655,626,4769.8546.79446.892729,613,4772.8347.44746.782445,618,4775.8247.14447.362641,622,4778.847.384447.318408,607,4783.646.854446.723802,624,4786.47.2714646.96194,613,4789.746.925447.437675,626,4794.45.5345447.655108,620,4797.46.880747.39166,625,4800.1747.08846.242677,631,4805.0246.52347.014492,612,4808.0347.51346.655806,613,4811.0447.07447.590259,622,4814.1146.94647.031587,632,4818.9547.44847.232512,605,4821.8446.98247.305364,618,4824.847.377747.122454,613,4829.346.911447.621528,612,4832.247.437446.040892,709,4835.647.237447.550925,625,4840.347.77747.624283,626,4843.4447.39746.901779,625,4846.4246.46747.113287,645,4851.2446.55747.695007,637,4854.2947.398444.305966,763,4856.547.147.47.15728,626,4859.547.347.119731,617,4864.308048.046.964934,606,4867.200747.447.341334,637,4870.242047.446.919546,612,4874.818147.447.036165,612,4877.874247.447.747626,634,4880.92047.2447.643247,626,4885.4147.43447.073592,631,4888.447.784446.999115,622,4891.447.412447.556399,626,4894.547.129447.311924,624,4899.047.734647.384959,613,4902.47.4147.47.055723,608,4904.47.247.047.33623,611,4909.346.947.46.290137,661,4912.45.0547.47.856021,611,4915.47.4448.47.954636,606,4920.47.6646.47.969796,602,4923.47.9348.47.38476,608,4926.24647.1046.892247,670,4930.94747.9147.537152,608,4933.47.47.2347.748679,602,4936.47.47.1447.736107,607,4939.47.48.1247.596054,610,4944.47.47.2948.13173,613,4947.047.47.447.249867,607,4949.947.46.47.734295,626,4954.6347.47.47.494606,614,4957.6447.4647.319483,600,4960.4948.24847.447116,608,4964.9047.74747.478925,611,4967.847.754747.510102,606,4970.747.814748.256676,608,4973.648.114748.039739,605,4978.147.147.47.246429,608,4981.048.048.46.700884,613,4983.47.6147.48.107712,601,4988.47.0047.48.009897,589,4991.46.9247.47.304098,589,4994.47.16447.301342,601,4997.0547.29447.885873,607,5001.5048.21448.15451,611,5004.48747.6946.83448,612,5007.422047.347.552215,613,5011.966747.47.82562,613,5014.9599984747.352755,619,5018.01418447.542185,608,5022.576413447.404131,611,5025.584759447.427467,619,5028.585898448.215538,606,5031.4937874848.075655,607,5035.9082774847.859614,595,5038.7566184747.089723,623,5041.71811447.612096,616,5046.181137447.788856,595,5049.0221647.48.119994,596,5051.8594147447.551404,596,5056.2500047447.848251,599,5059.241647447.433691,611,5062.2220947448.056682,617,5065.2442947447.738621,595,5069.6962344846.991973,646,5072.8779447.47.777157,617,5075.949944747.599711,583,5080.5514744747.583534,625,5083.5581346.47.833568,595,5086.452946.547.361412,594,5089.388947.847.643023,613,5093.91647.5648.136075,601,5096.87647.9247.990107,608,5099.85747.9347.27853,612,5104.340747.847.897784,600,5107.30034747.38293,595,5110.137307447.46781,619,5114.654707447.4908,614,5117.593561
48.050249,607,5120.579648
47.890953,595,5123.420515
46.28453,670,5128.242822
47.494608,612,5131.162257
47.057405,594,5134.054028
47.880188,607,5138.557683
47.871478,613,5141.613238
48.316891,607,5144.612723
48.0276,612,5149.048897
47.867606,608,5152.056546
47.292967,600,5154.993118
48.372995,596,5157.9061
47.984424,586,5162.448384
46.596403,653,5165.571316
47.576115,604,5168.529256
47.324589,596,5173.007742
48.159829,596,5175.900185
47.822179,608,5178.849965
47.708788,601,5181.776932
47.178354,583,5186.418013
47.768616,611,5189.347625
47.709906,604,5192.28154
48.064273,587,5196.916658
47.684685,609,5199.838339
46.584052,673,5203.040331
48.06041,599,5207.497748
47.886488,607,5210.444408
47.486688,613,5213.383559
47.530217,583,5216.168766
46.932382,629,5220.698154
48.085835,603,5223.674018
47.425873,607,5226.661802
47.145136,607,5231.400955
47.195344,598,5234.29114
47.301692,600,5237.1615514847.75467,607,5241.569521447.395159,599,5244.512067447.556186,595,5247.4721284748.302525,595,5250.3658034747.660846,602,5255.0838514747.878206,594,5257.9817134747.469412,595,5260.8971674847.459677,583,5265.5174274747.853509,594,5268.4284334747.220004,595,5271.2679634748.064458,601,5274.1350224747.824078,606,5278.5205184747.497744,589,5281.3920914747.981211,608,5284.308047.647.318461,625,5288.935747.347.136468,606,5291.896646.747.221725,600,5294.793947.247.441613,613,5299.22024746.086546,661,5302.3768394847.381648,618,5305.3491284747.440013,643,5308.461081474741.662247,973,5313.8474746.47.047628,607,5316.8004747.473574,613,5318.8280146.47.47.407132,608,5324.1945.47.192125,610,5326.2293347.48.11217,613,5329.2348024747.727925,610,5333.6541144747.479812,608,5336.5591864746.880764,622,5339.6163834747.603901,644,5342.7926084747.354577,606,5347.1916948.46.87459,661,5350.4016484747.096111,623,5353.4288864748.077322,601,5357.8040974747.921324,605,5360.7148754747.433372,620,5363.6975934747.526422,589,5368.0158994748.107578,601,5371.0089274747.338728,620,5374.0870494747.587951,590,5376.9751024748.127742,601,5381.4479347.46.89524,612,5384.3902446.47.187193,613,5387.3782447.47.216536,596,5391.8472247.47.742234,607,5394.7807747.46.870489,618,5397.86547.8447.077127,611,5402.39947.5347.643898,595,5405.34447.3347.518726,613,5409.2847.36246.575044,655,5412.4847.29247.037617,613,5417.0247.35847.611978,617,5420.0548.02147.159939,607,5423.0446.67447.539059,606,5427.5747.3447.814309,605,5430.604748.147.994012,607,5433.504747.147.872821,607,5437.94747.247.857757,602,5440.91444.197602,743,5443.494303448.062182,602,5446.437802474745.358458,734,5451.92404745.433797,709,5454.3970244748.07375,605,5457.387094448.008743,608,5461.8863194747.530706,577,5464.6767544746.800016,626,5467.7479394747.841069,601,5472.26326446.766699,676,5475.601371447.429941,589,5478.537497447.077153,595,5481.407246447.854025,601,5485.764253443.284051,846,5489.794899
47.247237,619,5492.776743
48.193375,601,5497.14969
47.059555,613,5500.075808
47.75064,613,5503.024724
48.260443,608,5507.499851
48.003586,601,5510.376747
48.220254,617,5513.322696
48.543964,604,5517.701363
46.825084,620,5520.65747
47.173469,600,5523.539536
48.292541,596,5526.448657
47.598734,583,5530.804379
47.228301,591,5533.714784
47.71945,600,5536.647093
47.648049,636,5541.534547
47.515462,602,5544.464082
47.537001,605,5547.348651
47.333058,595,5550.20312
48.055308,595,5554.874441
47.718567,601,5557.737963
48.388941,577,5560.509198
47.332025,591,5564.841362
47.169293,593,5567.666767
47.178832,600,5570.584019
47.111889,601,5574.944766
46.762003,637,5578.050423
47.842279,614,5581.044466
47.648815,593,5583.905361
47.713658,606,5588.397458
47.688695,595,5591.325483
47.562077,590,5594.247485
46.936192,607,5598.69682
47.40681,589,5601.497507
47.297644,594,5604.330792
47.868531,618,5607.306181
48.185993,606,5611.989818
47.170208,599,5614.953535
48.048599,595,5617.873613
47.208643,594,5622.223666
47.929291,607,5625.11024447.126032,607,5627.986902446.996999,607,5632.639975447.478041,593,5635.516525447.15022,596,5638.354651
47.787251,582,5641.218844447.460263,614,5645.976658447.218277,608,5648.895076447.8651,601,5651.755367
47.775714,588,5656.084553
47.872858,603,5658.971411
48.124409,606,5661.881677
47.57967,597,5664.840152
47.192818,596,5669.221841
47.645923,646,5672.34535
47.751691,593,5675.188524
47.724377,601,5679.544325
46.789544,607,5682.453784
47.571147,605,5685.378158
47.298357,605,5690.114607
47.306125,589,5692.925928448.269109,596,5695.796542447.544487,601,5698.67348
47.506688,607,5703.33711
48.261611,601,5706.344262
47.051663,589,5709.284175
47.715973,590,5713.610919
47.732646,605,5716.504034
47.271088,607,5719.422989447.15636,583,5722.213165
47.122629,588,5726.501003
47.071791,596,5729.358575
47.140107,601,5732.238639
47.489112,590,5736.852057
47.919271,595,5739.775522
47.350825,601,5742.68835
47.630368,584,5745.505755
47.830807,599,5749.896165
47.147685,605,5752.814745
46.866073,613,5755.77379
46.896849,595,5760.214947
47.665129,602,5763.217174
47.360098,596,5766.081171
48.450356,590,5770.515712
47.586257,592,5773.356874
47.413198,601,5776.263391
48.165862,595,5779.190516
47.747893,589,5783.816933
47.853038,598,5786.720633
47.399211,588,5789.649404
46.973292,608,5794.112909
47.123333,596,5797.022629
